Layer,Name,GEOID,Population,Longitude,Latitude,SVI,ViolentCrime,Robbery,Pop_2019_2023,InfantMortality,CrowdedHousing,TreeCanopy,LowFoodAccess,GradRate,Unemployment,PerCapitaIncome,PovertyRate,TeenBirthRate,BirthRate,IndLivingDiff,city_side,city_side_numeric
Community area,Burnside,47,2514,-87.59647,41.728181,86.8816102,131.229124,38.5467479,2137.42191,7.5757576,0.00317374,23.7,94.2531011,89.23181,18.6107973,28116.3054,23.5302903,42.335116,18.988707,14.7928973,South,0
Community area,Hegewisch,55,9884,-87.556803,41.668188,75.5823928,57.5182016,11.8417808,8885.92962,6.4239829,0.13720613,18.5,30.8941741,84.5272969,10.9162374,30798.0004,11.0970526,15.631576,18.638994,5.49826321,South,0
Community area,Calumet Heights,48,13085,-87.57272,41.729673,53.8119974,173.970198,43.0395156,11643.0354,11.450382,0.40486602,20.4,40.1176905,95.3617007,11.6711735,39696.6985,15.4764335,17.864434,14.118015,9.05476083,South,0
Community area,North Center,5,35150,-87.683839,41.947811,12.3341056,162.385518,68.2443651,35443.7301,1.8573551,0.42558469,24.3,15.9023273,97.2735013,3.95467789,89174.7293,4.67547822,1.8744142,30.058464,1.85862124,North,1
Community area,Washington Heights,73,25075,-87.648897,41.717495,63.8507645,316.849843,90.1505904,25214.8596,7.2815534,0.49499535,21.4,64.8556031,90.016052,10.8544539,31651.0509,15.6071265,17.467876,17.608794,6.61609387,South,0
Community area,Forest Glen,12,19579,-87.758358,41.993938,21.9454423,42.317492,13.8097813,19506.9972,2.1929825,0.53463575,44.2,17.5198846,96.1221333,4.3998403,72270.5533,4.22176168,0.6945168,18.156697,5.20228511,North,1
Community area,Beverly,72,19950,-87.675072,41.713148,16.8515767,144.383486,37.0953591,19603.2515,7.8201369,0.65296306,40.5,50.2545385,97.6349344,8.4701314,66325.1672,5.83390297,2.4841635,19.42924,4.23893522,South,0
Community area,Englewood,68,24322,-87.642502,41.777201,87.0158353,802.609406,241.792437,21377.1782,17.337461,0.7708864,24.7,22.2534617,76.9063588,20.2554791,19348.6276,32.2739602,34.749541,24.458357,10.8879171,South,0
Community area,Morgan Park,75,21714,-87.669062,41.689729,53.8573446,148.115441,38.0351223,21832.455,8.3487941,1.03619703,28.1,32.3508557,93.6520466,7.59159624,39487.3719,12.7215997,14.487266,18.124939,7.30768714,South,0
Community area,Norwood Park,10,41069,-87.803451,41.985248,38.3892427,53.7076092,10.4534597,41791.259,3.8022814,1.0566225,22.9,57.9822951,93.2063799,4.21993663,53454.9893,6.51065235,1.7864449,17.427744,4.02694122,North,1
Community area,Fuller Park,37,2549,-87.632427,41.809082,91.9822786,85.9373964,32.5775781,2213.54192,0.0,1.05671291,12.3,97.1012333,73.9859395,21.7461674,16967.4675,55.3669602,17.893661,21.311527,13.0728747,South,0
Community area,Lincoln Park,7,70425,-87.649491,41.922696,15.3863152,188.889628,100.976603,67763.8553,2.1712907,1.07421294,26.3,4.68280359,98.0184547,3.7660181,112835.194,8.34089096,0.8910803,22.726737,1.6835232,North,1
